                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.76186,                 0.4975,                 1.0465,                0.92819,                0.88767,                0.91161,                0.60315,                 1.1519,                0.54188,                 1.5273,             0.00036905,             0.00036905,             0.00036905
                    122,                 0.7695,                0.49311,                 1.0544,                0.91434,                0.90556,                0.91774,                0.59981,                 1.1942,                0.57996,                 1.5957,             0.00036455,             0.00036455,             0.00036455
                    123,                0.75971,                0.49011,                 1.0583,                 0.9355,                0.87773,                0.91627,                0.60575,                 1.1364,                 0.5707,                 1.5195,             0.00036005,             0.00036005,             0.00036005
                    124,                0.76199,                0.48659,                 1.0466,                0.94128,                0.89682,                0.91472,                0.60052,                 1.1877,                  0.552,                 1.5544,             0.00035556,             0.00035556,             0.00035556
                    125,                0.76447,                0.48524,                 1.0419,                0.94859,                0.88438,                0.91004,                0.59665,                 1.1586,                0.56159,                 1.5372,             0.00035106,             0.00035106,             0.00035106
                    126,                0.76644,                0.48063,                 1.0529,                0.94974,                0.89611,                0.92088,                0.59917,                 1.1904,                0.56204,                 1.5949,             0.00034656,             0.00034656,             0.00034656
                    127,                0.76953,                0.48686,                 1.0488,                0.91909,                0.90738,                0.90833,                0.60429,                 1.1574,                0.58216,                 1.5644,             0.00034206,             0.00034206,             0.00034206
                    128,                0.75904,                0.48974,                 1.0564,                0.92694,                0.88924,                0.91152,                0.60273,                 1.2146,                0.54136,                 1.6493,             0.00033756,             0.00033756,             0.00033756
                    129,                0.75374,                0.48334,                 1.0447,                 0.9374,                0.88683,                0.91757,                0.59514,                 1.1615,                0.54372,                 1.5701,             0.00033306,             0.00033306,             0.00033306
                    130,                0.75114,                0.47889,                 1.0453,                0.94492,                0.89881,                0.91709,                0.59771,                 1.1626,                0.55313,                 1.5697,             0.00032856,             0.00032856,             0.00032856
                    131,                0.73824,                0.47415,                 1.0367,                0.94292,                0.88678,                0.91639,                0.59898,                 1.1701,                0.52768,                 1.5946,             0.00032406,             0.00032406,             0.00032406
                    132,                 0.7485,                0.47562,                 1.0438,                0.95405,                0.88723,                0.91709,                0.60083,                 1.1878,                0.54594,                  1.596,             0.00031956,             0.00031956,             0.00031956
                    133,                0.75814,                0.48752,                 1.0432,                0.94506,                0.90964,                0.92184,                0.59756,                 1.1879,                0.55839,                    1.6,             0.00031506,             0.00031506,             0.00031506
                    134,                0.74842,                0.47428,                 1.0419,                0.93856,                  0.899,                0.91871,                0.60725,                 1.1708,                0.54464,                 1.5676,             0.00031056,             0.00031056,             0.00031056
